Row #,Year,Proj. Type,Organization Name,HMIS Org ID,Project Name,HMIS Proj ID,Geo Code,HMIS-Participating,Inventory Type,Target Pop.,Target Pop. A,Target Pop. B,Beds HH w/o Children,Beds HH w/ only Children,Veteran Beds,Veteran Beds HH w/ Children,Veteran Beds HH w/o Children,Youth Beds HH w/o Children,Victim Service Provider,Additional Federal Funding?,Additional Federal Funding: HUD-VASH,Additional Federal Funding: SSVF,Additional Federal Funding: GPD,Additional Federal Funding: GPD-BH,Additional Federal Funding: GPD-LD,Additional Federal Funding: GPD-HH,Additional Federal Funding: GPD-CT,Additional Federal Funding: GPD-SITH,Additional Federal Funding: GPD-TP,Additional Federal Funding: HCHV,Additional Federal Funding: HCHV-CRS,Additional Federal Funding: HCHV-SH,Additional Federal Funding: CWT/TR,Additional Federal Funding: BCP,Additional Federal Funding: TLP,Additional Federal Funding: MGH,Additional Federal Funding: HOPWA,Additional Federal Funding: HOPWA-HMV,Additional Federal Funding: HOPWA-PH,Additional Federal Funding: HOPWA-STSF,Additional Federal Funding: HOPWA-TH,Additional Federal Funding: HOPWA-CV,Additional Federal Funding: PIH,Additional Federal Funding: HOME,Additional Federal Funding: HOME ARP,Additional Federal Funding: PIH-EHV,Additional Federal Funding: Other,Housing Type,McKinney- Vento,McKinney- Vento: Esg,McKinney- Vento: EsgEs,McKinney- Vento: EsgRrh,McKinney- Vento: Esg-CV,McKinney- Vento: Coc,McKinney- Vento: CocSh,McKinney- Vento: CocTh,McKinney- Vento: CocPsh,McKinney- Vento: CocRrh,McKinney- Vento: CocSro,McKinney- Vento: CocThRrh,McKinney- Vento: SpC,McKinney- Vento: S8,McKinney- Vento: SHP,McKinney- Vento: YHDP,McKinney- Vento: YHDP Renewals,Year-Round Beds,PIT Count,Total Beds,Utilization Rate,Last Update On
151317,2013,TH,Alpha Project,,Casa Base (1195),,,,C,,SM,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,36,31,36,0.86,
151357,2013,TH,Alpha Project,,Casa Raphael (3917),,,,C,,SM,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,90,76,90,0.84,
156666,2013,ES,Alpha Project,,Casa Raphael Emergency Shelter,,,,C,,SM,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,24,11,24,0.46,
151423,2013,PSH,Alpha Project,,Metro Hotel (5915),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,193,188,193,0.97,
151424,2013,ES,Alpha Project,,Single Adults Winter Shelter(5930),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,220,0,0.93,
162324,2013,TH,Amikas,,Amikas House II,,,,N,,SFHC,VET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,11,13,11,1.18,
151439,2013,ES,Bread of Life,,Alliance NC Winter Shelter (6102),,,,C,,SMF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,52,0,0.93,
162330,2013,TH,Casa de Amparo,,New Directions,,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,31,31,31,1,
151304,2013,ES,Catholic Charities,,Alliance La Posada de Guadalupe (6105),,,,C,,SM,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0,17,0,0.93,
151440,2013,TH,Catholic Charities,,Catholic Charities - House of Rachel & Casa Maria (5625 / 5585),,,,C,,SFHC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,10,7,10,0.7,
162321,2013,ES,Catholic Charities,,EFSP/FEMA,,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,20,24,24,1,
162318,2013,ES,Catholic Charities,,Hospital Voucher Program,,,,C,,SMF+HC,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,20,2,2,1,
151379,2013,TH,Catholic Charities,,HR Independent Living (6086),,,,C,,SF,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,8,5,8,0.62,
